"date","venue","link","location"
"2022-05-14","The Blue Room","","""Bellingham, WA"""
"2020-02-21","VU Multipurpose Room","","""Bellingham, WA"""
"2023-07-15","Barboza","","""Seattle, WA"""
"2022-11-11","The Blue Room","","""Bellingham, WA"""
"2023-05-03","Sunset Tavern","","""Seattle, WA"""
"2022-03-17","Pub 85","","""Kirkland, WA"""
"2024-10-30","The High Dive","https://www.tixr.com/groups/highdive/events/hockey-teeth-w-supermother-timothy-robert-graham-115948","""Seattle, WA"""
"2024-01-24","Underground Coffeehouse","https://win.wwu.edu/event/9768471","""Bellingham, WA"""
"2023-09-15","Sunset Tavern","https://www.ticketweb.com/event/the-hoot-hoots-kilcid-band-sunset-tavern-tickets/13466098?pl=sunset","""Seattle, WA"""
"2023-01-29","The Rabbit Box","","""Seattle, WA"""
"2023-10-13","The Blue Room","https://www.venuepilot.co/events/83599/orders/new","""Bellingham, WA"""
"2022-03-29","Clock-Out Lounge","","""Seattle, WA"""
"2022-10-23","Central Saloon","","""Seattle, WA"""
"2022-03-25","The Shakedown","","""Bellingham, WA"""
"2022-12-02","JJ's Junction","","""Bellingham, WA"""
"2023-03-25","The Blue Room","","""Bellingham, WA"""
"2022-08-20","BAMF!","","""Bellingham, WA"""
"2022-04-28","The Wild Buffalo","","""Bellingham, WA"""
"2023-05-26","The Blue Room","","""Bellingham, WA"""
"2024-06-28","Barboza","https://www.axs.com/events/576704/caspian-coberly-tickets?skin=barboza","""Seattle, WA"""
"2020-03-05","Karate Church","","""Bellingham, WA"""
"2023-11-11","The Blue Room","https://blueroombham.com/#/events?event_id=88329","""Bellingham, WA"""
"2022-09-18","Freshwater Live Session","","""Bellingham, WA"""
"2021-11-17","Underground Coffeehouse","","""Bellingham, WA"""
"2023-08-25","Lucky Dime","","""Everett, WA"""
"2024-05-03","Magnuson Park w/ SPACE 101.1 FM","https://www.eventbrite.com/e/magnuson-park-live-with-chinese-american-bear-and-hockey-teeth-tickets-879139468817","""Seattle, WA"""
"2021-08-28","Bluebird House","","""Bellingham, WA"""
"2023-02-24","The Blue Room w/ Kazmyn","","""Bellingham, WA"""
"2021-07-30","Make.Shift","","""Bellingham, WA"""
"2025-01-18","Barboza","https://www.axs.com/events/786908/moving-in-slow-tickets?skin=barboza","""Seattle, WA"""
"2023-10-05","Sunset Tavern","","""Seattle, WA"""
"2023-07-21","The Shakedown","","""Bellingham, WA"""
"2024-05-08","Chop Suey","https://www.ticketweb.com/event/orange-comfort-sour-fuzz-hockey-chop-suey-tickets/13414494","""Seattle, WA"""
"2024-02-22","The Wild Buffalo","","""Bellingham, WA"""
"2024-02-24","Madame Lou's w/ Kazmyn","https://www.ticketweb.com/event/never-ending-fall-madame-lous-tickets/13301963","""Seattle, WA"""
"2021-11-07","Clock-Out Lounge","","""Seattle, WA"""
"2024-08-23","Madame Lou's","https://www.ticketweb.com/event/justin-harden-album-release-w-madame-lous-tickets/13790133","""Seattle, WA"""
"2024-12-30","Sunset Tavern","https://link.dice.fm/m06bdd5edb48?dice_id=m06bdd5edb48","""Seattle, WA"""
"2019-10-11","Make.Shift","","""Bellingham, WA"""
"2023-09-18","Madame Lou's","https://www.ticketweb.com/event/sorry-girls-lane-lines-madame-lous-tickets/13054525?pl=crocodile","""Seattle, WA"""
"2024-01-13","Central Saloon","https://www.venuepilot.co/events/92456/orders/new#/","""Seattle, WA"""
"2022-10-07","FoxyFest","","""Bellingham, WA"""
"2020-01-22","Underground Coffeehouse","","""Bellingham, WA"""
"2021-12-18","Karate Church w/ Kazmyn","","""Bellingham, WA"""
"2024-10-10","Barboza","https://www.axs.com/events/676856/pantsuitguy-tickets?skin=barboza","""Seattle, WA"""
"2022-06-04","Lawnstock","","""Bellingham, WA"""
"2022-05-31","Civic Field Way","","""Bellingham, WA"""
"2019-04-12","Make.Shift","","""Bellingham, WA"""
"2023-05-04","The Shakedown","","""Bellingham, WA"""
"2022-12-07","Cafe Racer","","""Seattle, WA"""
"2023-07-06","The Wild Buffalo","","""Bellingham, WA"""
"2021-10-23","Borough's End","","""Bellingham, WA"""
"2024-08-15","Barboza","https://www.axs.com/events/569621/the-burkharts-tickets","""Seattle, WA"""
"2023-02-05","Factory Luxe","","""Seattle, WA"""
"2024-05-10","The Blue Room","https://blueroombham.com/tickets-events/#/events?event_id=96883","""Bellingham, WA"""
"2023-04-23","Skagit Valley Tulip Festival","","""Mount Vernon, WA"""
"2022-10-19","Underground Coffeehouse","","""Bellingham, WA"""
"2022-10-08","The Bakery","","""Seattle, WA"""
"2022-04-02","The Blue Room","","""Bellingham, WA"""
"2022-10-31","The Funhouse","","""Seattle, WA"""
"2021-02-28","Firehouse Cafe","","""Bellingham, WA"""
"2024-04-23","The High Dive","https://www.tixr.com/groups/highdive/events/hockey-teeth-w-indr-last-resort-97953","""Seattle, WA"""
"2022-08-06","Trackside Brewery","","""Bellingham, WA"""
"2022-07-15","The Blue Room","","""Bellingham, WA"""
